hcp_id,hcp_name,specialty,city,state,hospital_affiliation,hospital_type,decile,brand_affinity,monthly_rx_potential,years_in_practice,kol_flag,kol_score,territory_id
NPI_000052,Dr. Ashley Torres,Pulmonologist,Minneapolis,MN,Lewis PLC Medical Center,Private Practice,10,VEXORIN_LOYAL,13,22,False,0,TER_MI_03
NPI_000053,Dr. Thomas Crosby,Hemato-Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,10,SWITCHER,14,28,False,0,TER_MI_02
NPI_000054,Dr. Gail Quinn,Medical Oncologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,8,VEXORIN_LOYAL,12,23,False,0,TER_PA_01
NPI_000055,Dr. Matthew Cantu,Medical Oncologist,Boston,MA,"Gill, Boyd and Rios Medical Center",Teaching Hospital,6,NO_PREFERENCE,10,4,False,0,TER_NO_01
NPI_000056,Dr. Amy Schwartz,Hemato-Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,9,VEXORIN_LOYAL,16,33,False,0,TER_MI_01
NPI_000057,Dr. Barbara Davis,Medical Oncologist,Seattle,WA,Thompson-Estrada Medical Center,Community Hospital,6,ZYLATEC_LOYAL,11,8,False,0,TER_PA_03
NPI_000058,Dr. Paul Barker,Medical Oncologist,Minneapolis,MN,Mayo Clinic Cancer Center,Cancer Center,7,VEXORIN_LOYAL,9,29,False,0,TER_MI_03
NPI_000059,Dr. Courtney Carney,Pulmonologist,New York,NY,"Wright, Ward and Martin Medical Center",Community Hospital,7,NO_PREFERENCE,11,32,False,0,TER_NO_02
NPI_000060,Dr. Ricardo Lowery,Medical Oncologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,6,SWITCHER,11,3,False,0,TER_SO_03
NPI_000061,Dr. Nicholas Butler,Pulmonologist,Seattle,WA,Seattle Cancer Care Alliance,Cancer Center,8,VEXORIN_LOYAL,12,34,False,0,TER_PA_03
NPI_000062,Dr. Jacob Hall,Pulmonologist,Phoenix,AZ,Baker-Barnes Medical Center,Teaching Hospital,6,NO_PREFERENCE,9,34,False,0,TER_MO_02
NPI_000063,Dr. April Nguyen,Medical Oncologist,Philadelphia,PA,Jensen-Tate Medical Center,Teaching Hospital,10,ZYLATEC_LOYAL,13,3,False,0,TER_NO_03
NPI_000064,Dr. Ernest Klein,Medical Oncologist,Minneapolis,MN,Ward-Perez Medical Center,Community Hospital,10,SWITCHER,13,12,False,0,TER_MI_03
NPI_000065,Dr. Edwin Weeks,Pulmonologist,Dallas,TX,UT Southwestern Simmons Cancer Center,Cancer Center,8,NO_PREFERENCE,16,18,False,0,TER_SO_02
NPI_000066,Dr. Sara Archer,Medical Oncologist,Houston,TX,Mcdonald-Davis Medical Center,Teaching Hospital,6,SWITCHER,7,7,False,0,TER_SO_01
NPI_000067,Dr. Laura Cox,Medical Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,10,NO_PREFERENCE,16,3,True,4,TER_NO_03
NPI_000068,Dr. Michael Leon,Hemato-Oncologist,Salt Lake City,UT,Clark and Sons Medical Center,Teaching Hospital,8,NO_PREFERENCE,12,33,False,0,TER_MO_03
NPI_000069,Dr. Brendan Brock,Pulmonologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,8,ZYLATEC_LOYAL,10,18,False,0,TER_MI_02
NPI_000070,Dr. William Schmidt,Medical Oncologist,Dallas,TX,UT Southwestern Simmons Cancer Center,Cancer Center,9,SWITCHER,16,27,False,0,TER_SO_02
NPI_000071,Dr. Ariel Kramer,Pulmonologist,San Francisco,CA,"Bradford, Cook and Mcguire Medical Center",Community Hospital,10,SWITCHER,12,35,False,0,TER_PA_02
NPI_000072,Dr. Bethany Fernandez,Medical Oncologist,Seattle,WA,Chapman-Parker Medical Center,Private Practice,4,VEXORIN_LOYAL,8,3,False,0,TER_PA_03
NPI_000073,Dr. Tyrone Green,Pulmonologist,Cleveland,OH,Camacho Group Medical Center,Teaching Hospital,7,VEXORIN_LOYAL,11,19,False,0,TER_MI_02
NPI_000074,Dr. Angela Roberts,Medical Oncologist,Minneapolis,MN,Brown-Zamora Medical Center,Teaching Hospital,9,NO_PREFERENCE,17,27,False,0,TER_MI_03
NPI_000075,Dr. Amy Wheeler,Pulmonologist,Dallas,TX,UT Southwestern Simmons Cancer Center,Cancer Center,10,SWITCHER,17,18,False,0,TER_SO_02
NPI_000076,Dr. Jorge Jordan,Hemato-Oncologist,Seattle,WA,Bell-Chase Medical Center,Teaching Hospital,10,ZYLATEC_LOYAL,12,9,False,0,TER_PA_03
NPI_000077,Dr. Sharon Nelson,Pulmonologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,10,SWITCHER,14,26,False,0,TER_MI_01
NPI_000078,Dr. Kim Khan,Medical Oncologist,Cleveland,OH,"Lee, Gilbert and Kaiser Medical Center",Teaching Hospital,7,VEXORIN_LOYAL,9,27,False,0,TER_MI_02
NPI_000079,Dr. John Booth,Pulmonologist,Phoenix,AZ,Smith LLC Medical Center,Community Hospital,6,VEXORIN_LOYAL,9,19,False,0,TER_MO_02
NPI_000080,Dr. Willie Stevens,Medical Oncologist,Chicago,IL,Giles-Perry Medical Center,Private Practice,9,SWITCHER,13,13,True,4,TER_MI_01
NPI_000081,Dr. Michael Martinez,Hemato-Oncologist,Cleveland,OH,"Haynes, Turner and Wilson Medical Center",Community Hospital,7,SWITCHER,11,22,False,0,TER_MI_02
NPI_000082,Dr. Michael Chen,Medical Oncologist,San Francisco,CA,UCSF Helen Diller Cancer Center,Cancer Center,7,ZYLATEC_LOYAL,12,21,False,0,TER_PA_02
NPI_000083,Dr. Leslie Mckee,Hemato-Oncologist,San Francisco,CA,Hoover Ltd Medical Center,Community Hospital,7,SWITCHER,10,6,False,0,TER_PA_02
NPI_000084,Dr. Jill Mullins,Hemato-Oncologist,Houston,TX,Rodriguez-Wilson Medical Center,Private Practice,9,NO_PREFERENCE,17,17,False,0,TER_SO_01
NPI_000085,Dr. Wendy Thompson,Medical Oncologist,Nashville,TN,Cruz-Kennedy Medical Center,Teaching Hospital,9,SWITCHER,16,11,False,0,TER_SO_03
NPI_000086,Dr. Wayne Conrad,Hemato-Oncologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,9,ZYLATEC_LOYAL,15,11,True,4,TER_PA_01
NPI_000087,Dr. Michael Manning,Medical Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,7,SWITCHER,13,26,False,0,TER_NO_03
NPI_000088,Dr. Paul Smith,Medical Oncologist,Denver,CO,Jones-Coleman Medical Center,Private Practice,10,ZYLATEC_LOYAL,19,33,False,0,TER_MO_01
NPI_000089,Dr. Tiffany Lynch,Medical Oncologist,Seattle,WA,"Davis, Murphy and Peck Medical Center",Private Practice,10,SWITCHER,12,17,False,0,TER_PA_03
NPI_000090,Dr. James Fields,Pulmonologist,Salt Lake City,UT,"Maynard, Brown and Robbins Medical Center",Community Hospital,10,NO_PREFERENCE,15,28,True,5,TER_MO_03
NPI_000091,Dr. Deborah Morrison,Medical Oncologist,Chicago,IL,"Miller, Wang and Landry Medical Center",Teaching Hospital,7,ZYLATEC_LOYAL,10,26,False,0,TER_MI_01
NPI_000092,Dr. Michael Diaz,Medical Oncologist,Minneapolis,MN,Mayo Clinic Cancer Center,Cancer Center,6,NO_PREFERENCE,10,17,False,0,TER_MI_03
NPI_000093,Dr. Erica Cochran,Pulmonologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,9,SWITCHER,16,10,True,3,TER_MI_01
NPI_000094,Dr. Gregory Johnston,Medical Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,8,NO_PREFERENCE,10,32,False,0,TER_NO_03
NPI_000095,Dr. Mark Edwards,Hemato-Oncologist,Chicago,IL,York-Clements Medical Center,Teaching Hospital,9,SWITCHER,16,29,False,0,TER_MI_01
NPI_000096,Dr. Linda Hart,Hemato-Oncologist,Denver,CO,"King, Mercer and Green Medical Center",Community Hospital,9,ZYLATEC_LOYAL,16,16,False,0,TER_MO_01
NPI_000097,Dr. Jennifer Nguyen,Hemato-Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,10,SWITCHER,16,25,True,4,TER_NO_03
NPI_000098,Dr. Robert Pennington,Medical Oncologist,Phoenix,AZ,"Taylor, Davenport and Taylor Medical Center",Private Practice,5,SWITCHER,8,4,False,0,TER_MO_02
NPI_000099,Dr. Jon Meyer,Medical Oncologist,Seattle,WA,Cook-Miller Medical Center,Community Hospital,7,SWITCHER,9,16,False,0,TER_PA_03
NPI_000100,Dr. Joshua Ingram,Pulmonologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,10,SWITCHER,19,3,True,3,TER_MO_03
NPI_000101,Dr. Cory Douglas,Hemato-Oncologist,Salt Lake City,UT,Spencer-Horn Medical Center,Private Practice,8,VEXORIN_LOYAL,15,11,True,3,TER_MO_03
NPI_000102,Dr. Julie Mitchell,Pulmonologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,1,VEXORIN_LOYAL,1,10,False,0,TER_NO_03
NPI_000103,Dr. Michael Aguirre,Pulmonologist,Salt Lake City,UT,Monroe-Mills Medical Center,Private Practice,8,SWITCHER,10,35,True,5,TER_MO_03
NPI_000104,Dr. Anna Martinez,Medical Oncologist,Seattle,WA,Barry Inc Medical Center,Private Practice,9,SWITCHER,14,4,True,4,TER_PA_03
NPI_000105,Dr. Kenneth Johnson,Hemato-Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,8,SWITCHER,12,8,False,0,TER_MI_01
NPI_000106,Dr. Gregory Fowler,Medical Oncologist,Houston,TX,Davis LLC Medical Center,Teaching Hospital,5,SWITCHER,9,27,False,0,TER_SO_01
NPI_000107,Dr. Kathleen Martinez,Hemato-Oncologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,8,SWITCHER,10,10,False,0,TER_SO_03
NPI_000108,Dr. Charles Johnson,Pulmonologist,Denver,CO,Shaffer LLC Medical Center,Teaching Hospital,9,ZYLATEC_LOYAL,14,17,False,0,TER_MO_01
NPI_000109,Dr. Brandon Solomon,Hemato-Oncologist,Salt Lake City,UT,Wiley-Blackwell Medical Center,Teaching Hospital,7,ZYLATEC_LOYAL,10,19,False,0,TER_MO_03
NPI_000110,Dr. Kim Levy,Medical Oncologist,Houston,TX,Jones-Torres Medical Center,Community Hospital,5,VEXORIN_LOYAL,9,8,False,0,TER_SO_01
NPI_000111,Dr. Danny Caldwell,Medical Oncologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,9,VEXORIN_LOYAL,11,24,False,0,TER_MO_03
NPI_000112,Dr. Eric Wright,Medical Oncologist,Dallas,TX,Dalton LLC Medical Center,Community Hospital,10,ZYLATEC_LOYAL,20,6,False,0,TER_SO_02
NPI_000113,Dr. Michelle Murphy,Pulmonologist,Denver,CO,"Morales, Kim and Perez Medical Center",Teaching Hospital,7,ZYLATEC_LOYAL,12,17,False,0,TER_MO_01
NPI_000114,Dr. Jose Preston,Hemato-Oncologist,Houston,TX,Rubio-Horne Medical Center,Teaching Hospital,7,VEXORIN_LOYAL,10,17,False,0,TER_SO_01
NPI_000115,Dr. Jennifer Phillips,Hemato-Oncologist,Philadelphia,PA,"Jimenez, Perez and Walker Medical Center",Community Hospital,10,NO_PREFERENCE,17,4,False,0,TER_NO_03
NPI_000116,Dr. Rebecca Jackson,Pulmonologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,9,ZYLATEC_LOYAL,16,24,False,0,TER_MI_01
NPI_000117,Dr. Megan Luna,Medical Oncologist,Phoenix,AZ,"Thompson, Nelson and Wade Medical Center",Teaching Hospital,5,VEXORIN_LOYAL,9,4,False,0,TER_MO_02
NPI_000118,Dr. Juan Beck,Medical Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,8,SWITCHER,10,22,False,0,TER_MI_01
NPI_000119,Dr. Amy Medina,Pulmonologist,Boston,MA,Dana-Farber Cancer Institute,Cancer Center,8,VEXORIN_LOYAL,10,6,False,0,TER_NO_01
NPI_000120,Dr. Robert King,Medical Oncologist,San Francisco,CA,UCSF Helen Diller Cancer Center,Cancer Center,9,ZYLATEC_LOYAL,13,35,True,4,TER_PA_02
NPI_000121,Dr. Tyler Joseph,Medical Oncologist,Seattle,WA,Martin-Peterson Medical Center,Teaching Hospital,9,SWITCHER,13,17,False,0,TER_PA_03
NPI_000122,Dr. William Brewer,Pulmonologist,Houston,TX,MD Anderson Cancer Center,Cancer Center,1,ZYLATEC_LOYAL,1,19,False,0,TER_SO_01
NPI_000123,Dr. John Lawson,Medical Oncologist,Minneapolis,MN,Mayo Clinic Cancer Center,Cancer Center,5,ZYLATEC_LOYAL,6,17,False,0,TER_MI_03
NPI_000124,Dr. Lisa Black,Medical Oncologist,Los Angeles,CA,"Wilson, Reid and Koch Medical Center",Private Practice,10,VEXORIN_LOYAL,19,5,False,0,TER_PA_01
NPI_000125,Dr. Jennifer Erickson,Medical Oncologist,Denver,CO,UCHealth University of Colorado Cancer Center,Cancer Center,4,ZYLATEC_LOYAL,6,29,False,0,TER_MO_01
NPI_000126,Dr. Kelly Sherman,Medical Oncologist,New York,NY,Nelson and Sons Medical Center,Community Hospital,7,VEXORIN_LOYAL,14,32,False,0,TER_NO_02
NPI_000127,Dr. Courtney Gill,Hemato-Oncologist,Philadelphia,PA,Penn Medicine Abramson Cancer Center,Cancer Center,10,NO_PREFERENCE,14,28,False,0,TER_NO_03
NPI_000128,Dr. Joyce Stevens,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,7,ZYLATEC_LOYAL,9,35,False,0,TER_MI_02
NPI_000129,Dr. Nicole Sullivan,Pulmonologist,Los Angeles,CA,Cedars-Sinai Samuel Oschin Cancer Center,Cancer Center,8,SWITCHER,12,12,True,3,TER_PA_01
NPI_000130,Dr. Brian Mueller,Medical Oncologist,Dallas,TX,UT Southwestern Simmons Cancer Center,Cancer Center,5,SWITCHER,6,34,False,0,TER_SO_02
NPI_000131,Dr. Christine Wade,Medical Oncologist,Philadelphia,PA,Ross-Wallace Medical Center,Teaching Hospital,8,SWITCHER,15,23,False,0,TER_NO_03
NPI_000132,Dr. Michael Fisher,Pulmonologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,5,ZYLATEC_LOYAL,7,20,False,0,TER_SO_03
NPI_000133,Dr. Amanda Rivas,Pulmonologist,Seattle,WA,Seattle Cancer Care Alliance,Cancer Center,7,SWITCHER,8,26,False,0,TER_PA_03
NPI_000134,Dr. Scott Oliver,Hemato-Oncologist,Los Angeles,CA,Lee-West Medical Center,Private Practice,4,NO_PREFERENCE,7,35,False,0,TER_PA_01
NPI_000135,Dr. Brian Fox,Medical Oncologist,Los Angeles,CA,Hardy PLC Medical Center,Community Hospital,8,SWITCHER,9,15,False,0,TER_PA_01
NPI_000136,Dr. Megan Noble,Medical Oncologist,Denver,CO,UCHealth University of Colorado Cancer Center,Cancer Center,5,VEXORIN_LOYAL,10,24,False,0,TER_MO_01
NPI_000137,Dr. Benjamin Smith,Hemato-Oncologist,Nashville,TN,"Guerrero, Hernandez and Martin Medical Center",Teaching Hospital,4,VEXORIN_LOYAL,7,31,False,0,TER_SO_03
NPI_000138,Dr. Michael Copeland,Medical Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,9,NO_PREFERENCE,13,24,False,0,TER_MI_01
NPI_000139,Dr. Candice Hall,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,9,ZYLATEC_LOYAL,15,27,True,5,TER_MI_02
NPI_000140,Dr. Jennifer Gardner,Hemato-Oncologist,Minneapolis,MN,"Jones, Donaldson and Wood Medical Center",Teaching Hospital,10,VEXORIN_LOYAL,12,12,False,0,TER_MI_03
NPI_000141,Dr. Paul Smith,Medical Oncologist,Philadelphia,PA,Rodriguez PLC Medical Center,Teaching Hospital,9,VEXORIN_LOYAL,16,8,False,0,TER_NO_03
NPI_000142,Dr. Kevin Gordon,Medical Oncologist,Houston,TX,Watson Inc Medical Center,Private Practice,10,SWITCHER,19,8,False,0,TER_SO_01
NPI_000143,Dr. Sharon Johnson,Medical Oncologist,Nashville,TN,Vanderbilt-Ingram Cancer Center,Cancer Center,7,VEXORIN_LOYAL,9,34,False,0,TER_SO_03
NPI_000144,Dr. Lawrence Williamson,Medical Oncologist,Cleveland,OH,Cleveland Clinic Taussig Cancer Institute,Cancer Center,10,ZYLATEC_LOYAL,19,35,False,0,TER_MI_02
NPI_000145,Dr. Kevin Cox,Hemato-Oncologist,New York,NY,Memorial Sloan Kettering Cancer Center,Cancer Center,10,ZYLATEC_LOYAL,18,11,False,0,TER_NO_02
NPI_000146,Dr. Timothy Thompson,Medical Oncologist,Salt Lake City,UT,"Holt, Wright and Mathis Medical Center",Teaching Hospital,5,SWITCHER,10,31,False,0,TER_MO_03
NPI_000147,Dr. Desiree Johnson,Medical Oncologist,Phoenix,AZ,Williams LLC Medical Center,Teaching Hospital,7,NO_PREFERENCE,12,31,False,0,TER_MO_02
NPI_000148,Dr. Cynthia Gray,Medical Oncologist,Houston,TX,Smith Inc Medical Center,Community Hospital,6,SWITCHER,12,15,False,0,TER_SO_01
NPI_000149,Dr. Kevin Thompson,Medical Oncologist,New York,NY,"Deleon, Adkins and Richardson Medical Center",Community Hospital,10,SWITCHER,14,27,False,0,TER_NO_02
NPI_000150,Dr. Tyler Griffith,Medical Oncologist,Salt Lake City,UT,Huntsman Cancer Institute,Cancer Center,5,SWITCHER,9,6,False,0,TER_MO_03
NPI_000151,Dr. Catherine Moore,Pulmonologist,Denver,CO,Vaughn Group Medical Center,Teaching Hospital,10,VEXORIN_LOYAL,19,10,True,3,TER_MO_01
NPI_000152,Dr. Kristi Johnson,Medical Oncologist,Chicago,IL,Northwestern Medicine Lurie Cancer Center,Cancer Center,10,ZYLATEC_LOYAL,20,17,False,0,TER_MI_01
NPI_000153,Dr. Evan Reeves,Hemato-Oncologist,Boston,MA,Dana-Farber Cancer Institute,Cancer Center,10,ZYLATEC_LOYAL,15,27,False,0,TER_NO_01
NPI_000154,Dr. Anthony Cohen,Medical Oncologist,San Francisco,CA,"Miller, Gallegos and Rodriguez Medical Center",Community Hospital,2,NO_PREFERENCE,3,12,False,0,TER_PA_02
