rep_id,rep_name,region,territory_id,total_experience_years,onco_experience_years,designation,manager_id,last_launch_performance,status,annual_ctc_usd
REP_019,Gary Scott,SOUTH_CENTRAL,TER_SO_02,6.4,6.4,Territory Business Manager,REP_004,Q2,ACTIVE,99453
REP_020,Carl Mcmahon,SOUTH_CENTRAL,TER_SO_02,14.5,2.1,Territory Business Manager,REP_004,Q2,ACTIVE,112533
REP_021,Robert Dodson,SOUTH_CENTRAL,TER_SO_02,10.6,6.3,Senior Territory Business Manager,REP_004,Q1,ACTIVE,97534
REP_022,Lisa Stewart,SOUTH_CENTRAL,TER_SO_03,6.3,6.3,Territory Business Manager,REP_004,Q2,ACTIVE,91563
REP_023,Stephanie Hanson,SOUTH_CENTRAL,TER_SO_03,6.1,3.5,Senior Territory Business Manager,REP_004,Q1,ACTIVE,79793
REP_024,Dr. Christopher Allen,SOUTH_CENTRAL,TER_SO_03,7.2,2.5,Territory Business Manager,REP_004,Q1,ACTIVE,106928
REP_025,Steven Donovan,MIDWEST,TER_MI_01,14.5,4.9,Territory Business Manager,REP_003,Q2,ACTIVE,79574
REP_026,Daniel Johnston,MIDWEST,TER_MI_01,13.9,4.5,Senior Territory Business Manager,REP_003,Q3,ACTIVE,95032
REP_027,John Ryan,MIDWEST,TER_MI_01,2.9,0.7,Senior Territory Business Manager,REP_003,Q4,ON_LEAVE,86051
REP_028,David Castillo,MIDWEST,TER_MI_02,4.1,4.0,Senior Territory Business Manager,REP_003,Q2,ACTIVE,98559
REP_029,Karen Ruiz,MIDWEST,TER_MI_02,5.5,5.5,Senior Territory Business Manager,REP_003,Q3,ACTIVE,95019
REP_030,Rachel Rodriguez,MIDWEST,TER_MI_02,9.4,2.9,Senior Territory Business Manager,REP_003,Q1,ACTIVE,84175
REP_031,Michael Day,MIDWEST,TER_MI_03,13.8,3.6,Territory Business Manager,REP_003,Q1,ACTIVE,108238
REP_032,Laura Travis,MIDWEST,TER_MI_03,10.9,8.5,Territory Business Manager,REP_003,Q3,ACTIVE,111149
REP_033,Christie Kidd,MIDWEST,TER_MI_03,6.9,6.9,Territory Business Manager,REP_003,Q3,ACTIVE,89634
REP_034,Belinda Fox,MOUNTAIN_WEST,TER_MO_01,13.8,6.7,Territory Business Manager,REP_005,Q2,ACTIVE,108450
REP_035,Gregory Russo,MOUNTAIN_WEST,TER_MO_01,5.0,4.9,Territory Business Manager,REP_005,Q1,ACTIVE,85868
REP_036,Alicia Byrd,MOUNTAIN_WEST,TER_MO_01,12.3,3.1,Territory Business Manager,REP_005,Q2,ACTIVE,112081
REP_037,Melanie Bentley,MOUNTAIN_WEST,TER_MO_02,11.3,9.7,Senior Territory Business Manager,REP_005,Q3,ACTIVE,106958
REP_038,Jason Martin,MOUNTAIN_WEST,TER_MO_02,6.5,4.1,Territory Business Manager,REP_005,Q2,ACTIVE,108940
REP_039,Melissa Santiago,MOUNTAIN_WEST,TER_MO_02,14.0,4.9,Senior Territory Business Manager,REP_005,Q3,ACTIVE,77615
REP_040,David Hayes,MOUNTAIN_WEST,TER_MO_03,14.8,4.6,Senior Territory Business Manager,REP_005,Q2,ACTIVE,112366
REP_041,Elizabeth Miles,MOUNTAIN_WEST,TER_MO_03,5.9,5.9,Territory Business Manager,REP_005,Q2,ACTIVE,99663
REP_042,Brian Espinoza,MOUNTAIN_WEST,TER_MO_03,14.7,3.8,Senior Territory Business Manager,REP_005,Q3,ACTIVE,97612
REP_043,Randy Jones,PACIFIC,TER_PA_01,9.4,5.9,Territory Business Manager,REP_006,Q1,ACTIVE,90072
REP_044,Misty Sutton,PACIFIC,TER_PA_01,4.8,4.8,Territory Business Manager,REP_006,Q2,ACTIVE,98738
REP_045,Joseph Baker,PACIFIC,TER_PA_01,10.6,8.5,Senior Territory Business Manager,REP_006,Q2,ACTIVE,82427
REP_046,Patrick Wheeler,PACIFIC,TER_PA_02,9.3,5.8,Territory Business Manager,REP_006,Q2,ACTIVE,101928
REP_047,Jeffrey Benson,PACIFIC,TER_PA_02,4.2,2.3,Territory Business Manager,REP_006,Q2,ACTIVE,77568
REP_048,Sara Wright,PACIFIC,TER_PA_02,3.3,0.7,Senior Territory Business Manager,REP_006,Q3,ON_LEAVE,108858
REP_049,Brian Turner,PACIFIC,TER_PA_03,14.5,6.8,Senior Territory Business Manager,REP_006,Q1,ON_LEAVE,89194
REP_050,Angela Lopez,PACIFIC,TER_PA_03,8.9,8.9,Territory Business Manager,REP_006,Q3,ACTIVE,101920
REP_051,Leah Schwartz,PACIFIC,TER_PA_03,10.6,8.4,Senior Territory Business Manager,REP_006,Q2,ACTIVE,97457
